"""246,375""","""510,386""",D8-11,RIDGE DR,Street Name,,SIGN_GUIDE,HOSPITAL,W,2.3,2.7,1.2,,,,,2021 Mar 23 12:00:00 AM,2024 Dec 12 12:00:00 AM,2025 Jul 03 12:00:00 AM,30.19516941370433,-97.6002903343063,POINT (-97.6002903343063 30.19516941370433)
"""695,375""","""298,985""",R9-10,SUMMIT AVE,SPEED LIMIT 25,,SIGN_REGULATORY,SPEED LIMIT 25,S,1.8,2.9,1.6,,,,,2021 Aug 25 12:00:00 AM,2025 Feb 20 12:00:00 AM,2025 Aug 02 12:00:00 AM,30.358331009365955,-97.86130460477415,POINT (-97.86130460477415 30.358331009365955)
"""739,264""","""389,903""",R1-5,PINE AVE,NO STANDING,,SIGN_REGULATORY,NO STANDING,E,1.6,1.6,1.3,Pending,,,,2023 Oct 21 12:00:00 AM,2024 Dec 16 12:00:00 AM,2025 Sep 06 12:00:00 AM,30.49712733985034,-97.6088806083,POINT (-97.6088806083 30.49712733985034)
"""679,810""","""238,285""",R6-11,OAK AVE,Street Name,,SIGN_GUIDE,STREET NAME,S,1.4,2.0,1.0,Pending,,,,2024 Aug 27 12:00:00 AM,2025 Jan 30 12:00:00 AM,2025 Aug 01 12:00:00 AM,30.14557369483234,-97.88081699552045,POINT (-97.88081699552045 30.14557369483234)
"""416,704""","""895,111""",R7-3,MAIN ST,,,SIGN_POLE,,,1.4,1.6,0.9,Installed,,,,2023 Sep 30 12:00:00 AM,2025 May 04 12:00:00 AM,2025 Jun 24 12:00:00 AM,30.37397960020782,-97.70510513454306,POINT (-97.70510513454306 30.37397960020782)
"""532,251""","""718,288""",W6-4,BIRCH CT,NO STOPPING,,SIGN_REGULATORY,NO STOPPING,E,2.9,1.0,1.3,Installed,,,,2023 Dec 24 12:00:00 AM,2025 Feb 02 12:00:00 AM,2025 Sep 28 12:00:00 AM,30.405104296956445,-97.75261212677793,POINT (-97.75261212677793 30.405104296956445)
"""151,951""","""375,118""",W3-15,VALLEY RD,Street Name,,SIGN_GUIDE,EXIT 123,W,1.8,1.4,0.5,QC Complete,,,,2021 Feb 19 12:00:00 AM,2024 Nov 03 12:00:00 AM,2025 Oct 10 12:00:00 AM,30.219587691794548,-97.76048228477175,POINT (-97.76048228477175 30.219587691794548)
"""985,370""","""145,130""",W2-5,FOREST LN,,,SIGN_POLE,,,1.3,1.1,1.1,Installed,,,,2021 Mar 08 12:00:00 AM,2025 Feb 16 12:00:00 AM,2025 Aug 26 12:00:00 AM,30.184401407683247,-97.74593973906498,POINT (-97.74593973906498 30.184401407683247)
"""447,976""","""231,148""",D7-16P,RIDGE DR,Street Name,,SIGN_GUIDE,DOWNTOWN,W,1.6,1.7,1.0,Installed,,,,2022 Oct 14 12:00:00 AM,2025 Jan 02 12:00:00 AM,2025 Nov 27 12:00:00 AM,30.402850921225635,-97.75485190134877,POINT (-97.75485190134877 30.402850921225635)
"""388,551""","""860,256""",D6-16,MEADOW CT,DO NOT ENTER,,SIGN_REGULATORY,DO NOT ENTER,NE,2.2,1.3,0.6,QC Complete,,,,2023 Sep 14 12:00:00 AM,2025 Mar 25 12:00:00 AM,2025 Jun 04 12:00:00 AM,30.3639828697221,-97.66374470622199,POINT (-97.66374470622199 30.3639828697221)
