"""770,487""","""216,739""",R5-8,PARK DR,NO TURN ON RED,,SIGN_REGULATORY,NO TURN ON RED,N,1.1,1.4,1.3,QC Complete,,,,2024 Jan 22 12:00:00 AM,2025 Feb 16 12:00:00 AM,2025 Jul 15 12:00:00 AM,30.324498025175444,-97.68519411612327,POINT (-97.68519411612327 30.324498025175444)
"""571,029""","""717,889""",D1-6,SUMMIT AVE,HILL,,SIGN_WARNING,HILL,W,2.9,1.7,0.6,QC Complete,,,,2022 Jun 26 12:00:00 AM,2024 Nov 12 12:00:00 AM,2025 Nov 22 12:00:00 AM,30.24359175219385,-97.79681328325631,POINT (-97.79681328325631 30.24359175219385)
"""581,741""","""662,275""",R7-3,WILLOW RD,BUMP,,SIGN_WARNING,BUMP,S,1.1,1.5,0.9,QC Complete,,,,2023 Feb 18 12:00:00 AM,2025 Jan 11 12:00:00 AM,2025 Sep 13 12:00:00 AM,30.44212708840606,-97.64005489997342,POINT (-97.64005489997342 30.44212708840606)
"""766,563""","""974,628""",D3-12,MEADOW CT,NO PARKING,,SIGN_REGULATORY,NO PARKING,,2.5,1.3,1.1,Installed,,,,2021 Apr 25 12:00:00 AM,2024 Dec 29 12:00:00 AM,2025 May 28 12:00:00 AM,30.37384570039595,-97.64714442394305,POINT (-97.64714442394305 30.37384570039595)
"""944,151""","""430,776""",D5-3,BIRCH CT,BUMP,,SIGN_WARNING,BUMP,SW,1.8,2.8,1.2,Pending,,,,2024 Jan 09 12:00:00 AM,2025 Jan 07 12:00:00 AM,2025 Nov 27 12:00:00 AM,30.155852127810203,-97.67650330537252,POINT (-97.67650330537252 30.155852127810203)
"""712,982""","""549,245""",W7-12,LAKE RD,,,SIGN_POLE,,S,2.5,2.7,0.7,Installed,,,,2021 May 11 12:00:00 AM,2025 Feb 07 12:00:00 AM,2025 Aug 25 12:00:00 AM,30.416831745745185,-97.77335200996009,POINT (-97.77335200996009 30.416831745745185)
"""724,834""","""590,785""",W5-18,MAIN ST,ONE WAY,,SIGN_REGULATORY,ONE WAY,NW,1.2,1.9,1.2,Pending,,,,2023 Nov 06 12:00:00 AM,2024 Nov 28 12:00:00 AM,2025 Oct 27 12:00:00 AM,30.488755239548045,-97.67141134028438,POINT (-97.67141134028438 30.488755239548045)
"""412,942""","""982,554""",W9-20,RIDGE DR,Street Name,,SIGN_GUIDE,HOSPITAL,,2.8,2.2,1.2,QC Complete,,,,2022 Sep 22 12:00:00 AM,2025 Jan 01 12:00:00 AM,2025 Jun 03 12:00:00 AM,30.471639446505847,-97.63638343665303,POINT (-97.63638343665303 30.471639446505847)
"""352,572""","""694,916""",R2-16,CEDAR LN,Street Name,,SIGN_GUIDE,EXIT 123,SW,2.9,1.3,1.3,,,,,2022 Feb 16 12:00:00 AM,2025 May 02 12:00:00 AM,2025 Aug 07 12:00:00 AM,30.48574516240298,-97.62132595209934,POINT (-97.62132595209934 30.48574516240298)
"""518,373""","""804,314""",W6-15,BRIDGE ST,NO STANDING,,SIGN_REGULATORY,NO STANDING,W,1.1,1.0,1.3,Installed,,,,2021 May 01 12:00:00 AM,2024 Dec 29 12:00:00 AM,2025 Jun 06 12:00:00 AM,30.10287633559404,-97.68764771603546,POINT (-97.68764771603546 30.10287633559404)
